id,filename,yes,homeowner,rep_share,iBlackShare,iLatinoShare,iBAshare,logpop,logincome_revised,iLogTaxPerCap,IDcity,year
352,1998-Fresno-Parlier-I-Impartial.txt,35.9,0.5623,-0.3261,0.0007,0.9699,0.0234,4.0244,4.3349,1.4778,312,1998
353,2008-Fresno-Reedley-G-Impartial.txt,59.2,0.6146,0.0393,0.0033,0.7454,0.1576,4.3768,4.6767,2.3024,344,2008
354,2004-Fresno-Sanger-S-Impartial.txt,40.3,0.5718,-0.051,0.0028,0.8075,0.0871,4.3008,4.6099,2.2941,387,2004
355,2008-Fresno-Sanger-S-Impartial.txt,74.2,0.5694,-0.0866,0.0042,0.8058,0.0919,4.3836,4.6699,2.5068,387,2008
356,2007-Fresno-Selma-S-Impartial.txt,86.4,0.6227,-0.0174,0.0066,0.7583,0.1056,4.3582,4.6617,2.581,405,2007
357,2008-Fresno-Selma-R-Impartial.txt,71.4,0.6228,-0.0265,0.0067,0.7642,0.1092,4.3617,4.6693,2.5558,405,2008
358,2010-Fresno-Selma-K-Impartial.txt,57,0.6229,-0.0546,0.0069,0.7758,0.1164,4.3658,4.6734,2.4429,405,2010
377,2000-Glenn-Orland-Y-Impartial.txt,35,0.5991,0.1504,0.0021,0.3726,0.0793,3.798,4.5157,2.2803,300,2000
378,2006-Glenn-Orland-H-Impartial.txt,59.6,0.6214,0.0955,0.0035,0.418,0.0979,3.833,4.6048,2.4985,300,2006
384,1996-Humboldt-Arcata-N-Impartial.txt,54.8,0.4045,-0.2546,0.0136,0.0623,0.3972,4.2179,4.5117,2.2621,16,1996
385,2000-Humboldt-Arcata-P-Impartial.txt,57.5,0.3753,-0.2908,0.0148,0.0722,0.4161,4.2214,4.5648,2.3065,16,2000
386,2004-Humboldt-Arcata-G-Impartial.txt,66.6,0.3877,-0.3423,0.0164,0.0897,0.4164,4.2292,4.6418,2.3381,16,2004
387,2008-Humboldt-Arcata-A-Impartial.txt,35.8,0.3997,-0.3213,0.018,0.1073,0.4167,4.2325,4.7051,2.5581,16,2008
388,2008-Humboldt-Arcata-G-Impartial.txt,60.2,0.3997,-0.3213,0.018,0.1073,0.4167,4.2325,4.7051,2.5581,16,2008
390,2004-Humboldt-BlueLake-N-Impartial.txt,49.9,0.5917,-0.1543,0.0032,0.041,0.3066,3.0803,4.655,2.0779,43,2004
